id,comment,User  id,Photo id,created Timestamp,posted date,emoji used,Hashtags used count,
64,it takes place and,36,3,13-04-2023 08:04,Apr-14,yes,2,
65,of things or as,37,3,13-04-2023 08:04,Apr-14,yes,1,
66,I will open the selected hate,38,3,13-04-2023 08:04,Apr-14,no,2,
67,said to the inventor,41,3,13-04-2023 08:04,Apr-14,yes,0,
68,which it is because,43,3,13-04-2023 08:04,Apr-14,no,5,
69,hate is the least,44,3,13-04-2023 08:04,Apr-14,no,6,
70,he hates the free either,50,3,13-04-2023 08:04,Apr-14,yes,2,
71,because and what,54,3,13-04-2023 08:04,Apr-14,yes,1,
72,who is born to us,57,3,13-04-2023 08:04,Apr-14,no,3,
73,let ours flee and,62,3,13-04-2023 08:04,Apr-14,yes,1,
74,just and his,63,3,13-04-2023 08:04,Apr-14,no,2,
75,and please her,66,3,13-04-2023 08:04,Apr-14,no,4,
76,let it be rejected,67,3,13-04-2023 08:04,Apr-14,yes,2,
77,be born of them,70,3,13-04-2023 08:04,Apr-14,yes,1,
78,he who at,71,3,13-04-2023 08:04,Apr-14,no,2,
79,rejecting rejecting to,75,3,13-04-2023 08:04,Apr-14,yes,0,
80,be the pains of the accusers,76,3,13-04-2023 08:04,Apr-14,no,5,
81,when you get other,79,3,13-04-2023 08:04,Apr-14,no,6,
82,she was told to do,91,3,13-04-2023 08:04,Apr-14,yes,2,
83,in times of error,97,3,13-04-2023 08:04,Apr-14,yes,1,
84,or business services,5,4,13-04-2023 08:04,Apr-14,no,3,
85,of these things,6,4,13-04-2023 08:04,Apr-14,yes,1,
86,to make them laborious,8,4,13-04-2023 08:04,Apr-14,no,2,
87,labored or darkened,11,4,13-04-2023 08:04,Apr-14,no,4,
88,at other times with wise pain,14,4,13-04-2023 08:04,Apr-14,yes,2,
89,or distinction of pleasure,15,4,13-04-2023 08:04,Apr-14,yes,1,
90,the error of his pleasures,18,4,13-04-2023 08:04,Apr-14,no,2,
91,it is very great,20,4,13-04-2023 08:04,Apr-14,yes,0,
92,never laborious indeed,21,4,13-04-2023 08:04,Apr-14,no,5,
93,that we may distinguish,22,4,13-04-2023 08:04,Apr-14,no,6,
94,the trouble of the truth or,24,4,13-04-2023 08:04,Apr-14,yes,2,
95,by the regular labor of life,26,4,13-04-2023 08:04,Apr-14,yes,1,
96,that is to be assumed,33,4,13-04-2023 08:04,Apr-14,no,3,
97,that distinction of mind,36,4,13-04-2023 08:04,Apr-14,yes,1,
98,and let them be of truth,41,4,13-04-2023 08:04,Apr-14,no,2,
99,expeditious exercise of duties,42,4,13-04-2023 08:04,Apr-14,no,4,
100,desire to do it,47,4,13-04-2023 08:04,Apr-14,yes,2,
101,he is like anyone,50,4,13-04-2023 08:04,Apr-14,yes,1,
102,provide and or,54,4,13-04-2023 08:04,Apr-14,no,2,
103,and similarly because,57,4,13-04-2023 08:04,Apr-14,yes,0,
104,Painful exercise times,66,4,13-04-2023 08:04,Apr-14,no,5,
105,they fall or be seen,67,4,13-04-2023 08:04,Apr-14,no,6,
106,the pleasure of being blinded,71,4,13-04-2023 08:04,Apr-14,yes,2,
107,or herself as,75,4,13-04-2023 08:04,Apr-14,yes,1,
108,but they must be assumed,76,4,13-04-2023 08:04,Apr-14,no,3,
109,because it is not easy,79,4,13-04-2023 08:04,Apr-14,yes,1,
110,let it be understood,85,4,13-04-2023 08:04,Apr-14,no,2,
111,we can have the pleasure of it,91,4,13-04-2023 08:04,Apr-14,no,4,
112,He seeks to bear the trouble,95,4,13-04-2023 08:04,Apr-14,yes,2,
113,error will be followed by pain,97,4,13-04-2023 08:04,Apr-14,yes,1,
114,trouble because it is born,98,4,13-04-2023 08:04,Apr-14,no,2,
115,because all from,100,4,13-04-2023 08:04,Apr-14,yes,0,
116,and let the pain be all,5,5,13-04-2023 08:04,Apr-14,no,5,
117,something at him,14,5,13-04-2023 08:04,Apr-14,no,6,
118,but it is the same,17,5,13-04-2023 08:04,Apr-14,yes,2,
119,choice indeed pain,21,5,13-04-2023 08:04,Apr-14,yes,1,
120,let pains be pleasures,22,5,13-04-2023 08:04,Apr-14,no,3,
121,here is the trouble,24,5,13-04-2023 08:04,Apr-14,yes,1,
122,we can because you get it,26,5,13-04-2023 08:04,Apr-14,no,2,
123,our little ways,28,5,13-04-2023 08:04,Apr-14,no,4,
124,I will open them either,36,5,13-04-2023 08:04,Apr-14,yes,2,
125,just the times,41,5,13-04-2023 08:04,Apr-14,yes,1,
126,which reason,42,5,13-04-2023 08:04,Apr-14,no,2,
127,the result is great,44,5,13-04-2023 08:04,Apr-14,yes,0,
128,look at pains to,48,5,13-04-2023 08:04,Apr-14,no,5,
129,she will not accept it,54,5,13-04-2023 08:04,Apr-14,no,6,
130,I will explain that there is no but,57,5,13-04-2023 08:04,Apr-14,yes,2,
131,no pleasure to choose,60,5,13-04-2023 08:04,Apr-14,yes,1,
132,with further pains of the body,66,5,13-04-2023 08:04,Apr-14,no,3,
133,free as it may be,71,5,13-04-2023 08:04,Apr-14,yes,1,
134,for as,72,5,13-04-2023 08:04,Apr-14,no,2,
135,not at all,75,5,13-04-2023 08:04,Apr-14,no,4,
136,important things to be assumed,76,5,13-04-2023 08:04,Apr-14,yes,2,
137,everyone has nothing to choose from,79,5,13-04-2023 08:04,Apr-14,yes,1,
138,no happy services,84,5,13-04-2023 08:04,Apr-14,no,2,
139,the pleasures of life,91,5,13-04-2023 08:04,Apr-14,yes,0,
140,as if not herself,94,5,13-04-2023 08:04,Apr-14,no,5,
141,for our,95,5,13-04-2023 08:04,Apr-14,no,6,
142,the pleasure of things to be repelled,97,5,13-04-2023 08:04,Apr-14,yes,2,
143,ways to come from,5,6,13-04-2023 08:04,Apr-14,yes,1,
144,that thing we deserve,6,6,13-04-2023 08:04,Apr-14,no,3,
145,"indeed, who",11,6,13-04-2023 08:04,Apr-14,yes,1,
146,never right herself,14,6,13-04-2023 08:04,Apr-14,no,2,
147,and further with,19,6,13-04-2023 08:04,Apr-14,no,4,
148,chosen chosen who,21,6,13-04-2023 08:04,Apr-14,yes,2,
149,"therefore, anyone, anyone",24,6,13-04-2023 08:04,Apr-14,yes,1,
150,the pleasure of error is to be repelled,26,6,13-04-2023 08:04,Apr-14,no,2,
151,provide that it is easy,36,6,13-04-2023 08:04,Apr-14,yes,0,
152,but because by law,41,6,13-04-2023 08:04,Apr-14,no,5,
153,they fall into the very pleasure,46,6,13-04-2023 08:04,Apr-14,no,6,
154,it will happen that he will be repelled,47,6,13-04-2023 08:04,Apr-14,yes,2,
155,by which the error of truth,52,6,13-04-2023 08:04,Apr-14,yes,1,
156,or as if,54,6,13-04-2023 08:04,Apr-14,no,3,
157,for any,57,6,13-04-2023 08:04,Apr-14,yes,1,
158,unless they abandon things,61,6,13-04-2023 08:04,Apr-14,no,2,
159,the pleasure of that trouble,62,6,13-04-2023 08:04,Apr-14,no,4,
160,the result is the accusation of choosing,66,6,13-04-2023 08:04,Apr-14,yes,2,
161,He wants to escape the pleasures,71,6,13-04-2023 08:04,Apr-14,yes,1,
162,they provide for the consequences,73,6,13-04-2023 08:04,Apr-14,no,2,
163,I will explain the problem,75,6,13-04-2023 08:04,Apr-14,yes,0,
164,a great pleasure at times,76,6,13-04-2023 08:04,Apr-14,no,5,
165,some as an architect,78,6,13-04-2023 08:04,Apr-14,no,6,
166,who errs as,84,6,13-04-2023 08:04,Apr-14,yes,2,
167,it will be followed because you are enduring it,91,6,13-04-2023 08:04,Apr-14,yes,1,
168,and for,93,6,13-04-2023 08:04,Apr-14,no,3,
169,they leave no laborious,97,6,13-04-2023 08:04,Apr-14,yes,1,
170,those who fall in love,99,6,13-04-2023 08:04,Apr-14,no,2,
171,but to be a pleasure,100,6,13-04-2023 08:04,Apr-14,no,4,
172,for those who praise,5,7,13-04-2023 08:04,Apr-14,yes,2,
173,some of the truth was blinded,9,7,13-04-2023 08:04,Apr-14,yes,1,
174,or by which pleasure,10,7,13-04-2023 08:04,Apr-14,no,2,
175,as much as anyone,11,7,13-04-2023 08:04,Apr-14,yes,0,
176,He repels what he hates,14,7,13-04-2023 08:04,Apr-14,no,5,
177,you will see a great deal further,19,7,13-04-2023 08:04,Apr-14,no,6,
178,from which one,21,7,13-04-2023 08:04,Apr-14,yes,2,
179,they are the gentle chosen ones,24,7,13-04-2023 08:04,Apr-14,yes,1,
180,it is easy to achieve the most valuable things,27,7,13-04-2023 08:04,Apr-14,no,3,
181,is repulsed by pain,33,7,13-04-2023 08:04,Apr-14,yes,1,
182,because it hinders,36,7,13-04-2023 08:04,Apr-14,no,2,
183,then let all be born,40,7,13-04-2023 08:04,Apr-14,no,4,
184,but at other times with pain,41,7,13-04-2023 08:04,Apr-14,yes,2,
185,the rougher itself,42,7,13-04-2023 08:04,Apr-14,yes,1,
186,whom they had abandoned,54,7,13-04-2023 08:04,Apr-14,no,2,
187,to bear pain and the like,56,7,13-04-2023 08:04,Apr-14,yes,0,
188,a laborious pleasure,57,7,13-04-2023 08:04,Apr-14,no,5,
189,"and the like, anyone and the like",63,7,13-04-2023 08:04,Apr-14,no,6,
190,pain at the right time,66,7,13-04-2023 08:04,Apr-14,yes,2,
191,born of the least truth,70,7,13-04-2023 08:04,Apr-14,yes,1,
192,it repels as it is,71,7,13-04-2023 08:04,Apr-14,no,3,
193,who will receive the result,75,7,13-04-2023 08:04,Apr-14,yes,1,
194,get some wise,76,7,13-04-2023 08:04,Apr-14,no,2,
195,and indeed just,87,7,13-04-2023 08:04,Apr-14,no,4,
196,to refuse those who praise,91,7,13-04-2023 08:04,Apr-14,yes,2,
197,let him flee from trouble itself,92,7,13-04-2023 08:04,Apr-14,yes,1,
198,I do not suffer anymore,97,7,13-04-2023 08:04,Apr-14,no,2,
199,you owe it no,2,8,13-04-2023 08:04,Apr-14,yes,0,
200,to exercise who,5,8,13-04-2023 08:04,Apr-14,no,5,
201,is held by because,8,8,13-04-2023 08:04,Apr-14,no,6,
202,pains pain pleasures,14,8,13-04-2023 08:04,Apr-14,yes,2,
203,it will happen to be solved,17,8,13-04-2023 08:04,Apr-14,yes,1,
204,He was called the times,19,8,13-04-2023 08:04,Apr-14,no,3,
205,just to some people,21,8,13-04-2023 08:04,Apr-14,yes,1,
206,he is laborious for us,24,8,13-04-2023 08:04,Apr-14,no,2,
207,to achieve that,27,8,13-04-2023 08:04,Apr-14,no,4,
208,I will not explain the pain,30,8,13-04-2023 08:04,Apr-14,yes,2,
209,great pleasure for us,32,8,13-04-2023 08:04,Apr-14,yes,1,
210,they were blinded because they refused,33,8,13-04-2023 08:04,Apr-14,no,2,
211,and he sought them with pain,36,8,13-04-2023 08:04,Apr-14,yes,0,
212,it is not pleasure,37,8,13-04-2023 08:04,Apr-14,no,5,
213,let them follow the truth,39,8,13-04-2023 08:04,Apr-14,no,6,
214,let him flee from things themselves,41,8,13-04-2023 08:04,Apr-14,yes,2,
215,rightly it is a mistake,43,8,13-04-2023 08:04,Apr-14,yes,1,
216,pains from,44,8,13-04-2023 08:04,Apr-14,no,3,
217,but the matter was darkened,46,8,13-04-2023 08:04,Apr-14,yes,1,
218,those great times,52,8,13-04-2023 08:04,Apr-14,no,2,
219,we cannot have pleasure,54,8,13-04-2023 08:04,Apr-14,no,4,
220,as because she herself,56,8,13-04-2023 08:04,Apr-14,yes,2,
221,not the pain of rejection,57,8,13-04-2023 08:04,Apr-14,yes,1,
222,from they do not know from,63,8,13-04-2023 08:04,Apr-14,no,2,
223,I will explain their feelings,66,8,13-04-2023 08:04,Apr-14,yes,0,
224,it is never to be rejected,71,8,13-04-2023 08:04,Apr-14,no,5,
225,any further,72,8,13-04-2023 08:04,Apr-14,no,6,
226,I was blinded by that flight,73,8,13-04-2023 08:04,Apr-14,yes,2,
227,to be accepted in a laborious manner,75,8,13-04-2023 08:04,Apr-14,yes,1,
228,pleasure in,76,8,13-04-2023 08:04,Apr-14,no,3,
229,please follow us,82,8,13-04-2023 08:04,Apr-14,yes,1,
230,they are at work with pleasure,84,8,13-04-2023 08:04,Apr-14,no,2,
231,in what ways,85,8,13-04-2023 08:04,Apr-14,no,4,
232,he hates the truth,91,8,13-04-2023 08:04,Apr-14,yes,2,
233,most of all of us,93,8,13-04-2023 08:04,Apr-14,yes,1,
234,it is a kind of exercise,94,8,13-04-2023 08:04,Apr-14,no,2,
235,because any whole,96,8,13-04-2023 08:04,Apr-14,yes,0,
236,for who hinders,100,8,13-04-2023 08:04,Apr-14,no,5,
237,and their pain,2,9,13-04-2023 08:04,Apr-14,no,6,
238,and those who suffer,3,9,13-04-2023 08:04,Apr-14,yes,2,
239,the law will turn out to be laborious,5,9,13-04-2023 08:04,Apr-14,yes,1,
240,or said pleasure,14,9,13-04-2023 08:04,Apr-14,no,3,
241,I choose him,19,9,13-04-2023 08:04,Apr-14,yes,1,
242,pleasure in the pains of things,21,9,13-04-2023 08:04,Apr-14,no,2,
243,because for us things,24,9,13-04-2023 08:04,Apr-14,no,4,
244,at the time nothing,26,9,13-04-2023 08:04,Apr-14,yes,2,
245,and no one herself,36,9,13-04-2023 08:04,Apr-14,yes,1,
246,he takes up desertion,40,9,13-04-2023 08:04,Apr-14,no,2,
247,let the accusers see something,41,9,13-04-2023 08:04,Apr-14,yes,0,
248,hate it or not,50,9,13-04-2023 08:04,Apr-14,no,5,
249,flattery which is rejected,54,9,13-04-2023 08:04,Apr-14,no,6,
250,pleasures should be right,57,9,13-04-2023 08:04,Apr-14,yes,2,
251,less than him,61,9,13-04-2023 08:04,Apr-14,yes,1,
252,the pain itself,65,9,13-04-2023 08:04,Apr-14,no,3,
253,no pleasure pain,66,9,13-04-2023 08:04,Apr-14,yes,1,
254,to continue to be,69,9,13-04-2023 08:04,Apr-14,no,2,
255,and wants and,71,9,13-04-2023 08:04,Apr-14,no,4,
256,pleasure as it were,75,9,13-04-2023 08:04,Apr-14,yes,2,
257,and to make loose,76,9,13-04-2023 08:04,Apr-14,yes,1,
258,and the elders do the same,85,9,13-04-2023 08:04,Apr-14,no,2,
259,services as pleasure,91,9,13-04-2023 08:04,Apr-14,yes,0,
260,you will only have to suffer,95,9,13-04-2023 08:04,Apr-14,no,5,
261,and not with hatred,98,9,13-04-2023 08:04,Apr-14,no,6,
262,I will come to the right of the body,2,10,13-04-2023 08:04,Apr-14,yes,2,
263,I will explain who it is,5,10,13-04-2023 08:04,Apr-14,yes,1,
264,but who is who,9,10,13-04-2023 08:04,Apr-14,no,3,
265,to give birth to the greatest pleasure,12,10,13-04-2023 08:04,Apr-14,yes,1,
266,the pleasure of things or,14,10,13-04-2023 08:04,Apr-14,no,2,
267,great as pain,21,10,13-04-2023 08:04,Apr-14,no,4,
268,I just got rid of him,24,10,13-04-2023 08:04,Apr-14,yes,2,
269,nothing to choose because,26,10,13-04-2023 08:04,Apr-14,yes,1,
270,times of convenience,36,10,13-04-2023 08:04,Apr-14,no,2,
271,they are also something,38,10,13-04-2023 08:04,Apr-14,yes,0,
272,pain anyone to,41,10,13-04-2023 08:04,Apr-14,no,5,
273,pains or as,46,10,13-04-2023 08:04,Apr-14,no,6,
274,to receive and seek,54,10,13-04-2023 08:04,Apr-14,yes,2,
275,he was released with pleasure,57,10,13-04-2023 08:04,Apr-14,yes,1,
276,I apologize for nothing often,66,10,13-04-2023 08:04,Apr-14,no,3,
277,and for that reason,67,10,13-04-2023 08:04,Apr-14,yes,1,
278,less than us,71,10,13-04-2023 08:04,Apr-14,no,2,
279,here the pleasures of repudiation,73,10,13-04-2023 08:04,Apr-14,no,4,
280,be prepared for that reason,75,10,13-04-2023 08:04,Apr-14,yes,2,
281,which will happen some time,76,10,13-04-2023 08:04,Apr-14,yes,1,
282,I will explain the physical times,84,10,13-04-2023 08:04,Apr-14,no,2,
283,those are the times,87,10,13-04-2023 08:04,Apr-14,yes,0,
284,but it is right,91,10,13-04-2023 08:04,Apr-14,no,5,
285,just something like that,100,10,13-04-2023 08:04,Apr-14,no,6,
286,this will follow from,3,11,13-04-2023 08:04,Apr-14,yes,2,
287,things and everything,5,11,13-04-2023 08:04,Apr-14,yes,1,
288,pains and lust for them,14,11,13-04-2023 08:04,Apr-14,no,3,
289,to follow the blessed of the corrupt,20,11,13-04-2023 08:04,Apr-14,yes,1,
290,He receives flattery,21,11,13-04-2023 08:04,Apr-14,no,2,
291,He is pleased with the pain,24,11,13-04-2023 08:04,Apr-14,no,4,
292,which you can look into,27,11,13-04-2023 08:04,Apr-14,yes,2,
293,pleasures or as,31,11,13-04-2023 08:04,Apr-14,yes,1,
294,to have less pleasure,36,11,13-04-2023 08:04,Apr-14,no,2,
295,it repels other pains,38,11,13-04-2023 08:04,Apr-14,yes,0,
296,He takes pleasure in different ways,41,11,13-04-2023 08:04,Apr-14,no,5,
297,nor will they accept the truth,50,11,13-04-2023 08:04,Apr-14,no,6,
298,or as he,52,11,13-04-2023 08:04,Apr-14,yes,2,
299,but the fault of pleasures,54,11,13-04-2023 08:04,Apr-14,yes,1,
300,nor of his body,55,11,13-04-2023 08:04,Apr-14,no,3,
301,of the body and something,57,11,13-04-2023 08:04,Apr-14,yes,1,
302,trouble and guilt,66,11,13-04-2023 08:04,Apr-14,no,2,
303,discomfort pain exercise,71,11,13-04-2023 08:04,Apr-14,no,4,
304,as because of pleasure,73,11,13-04-2023 08:04,Apr-14,yes,2,
305,that pain which,75,11,13-04-2023 08:04,Apr-14,yes,1,
306,He will pursue them by rejecting them,76,11,13-04-2023 08:04,Apr-14,no,2,
307,because and the inventor,78,11,13-04-2023 08:04,Apr-14,yes,0,
308,and I will come to some,82,11,13-04-2023 08:04,Apr-14,no,5,
309,for he is a pleasure,84,11,13-04-2023 08:04,Apr-14,no,6,
310,whom never because,91,11,13-04-2023 08:04,Apr-14,yes,2,
311,so that the most painful,92,11,13-04-2023 08:04,Apr-14,yes,1,
312,them and often,99,11,13-04-2023 08:04,Apr-14,no,3,
313,let him flee,5,12,13-04-2023 08:04,Apr-14,yes,1,
314,life with whom,14,12,13-04-2023 08:04,Apr-14,no,2,
315,corrupted to be repelled,17,12,13-04-2023 08:04,Apr-14,no,4,
316,and the smallest flight,18,12,13-04-2023 08:04,Apr-14,yes,2,
317,or we accuse him of trouble,21,12,13-04-2023 08:04,Apr-14,yes,1,
318,often no one,22,12,13-04-2023 08:04,Apr-14,no,2,
319,but by bearing and,24,12,13-04-2023 08:04,Apr-14,yes,0,
320,and his bearing,32,12,13-04-2023 08:04,Apr-14,no,5,
321,He blames nothing and pain,36,12,13-04-2023 08:04,Apr-14,no,6,
322,The distinction pleases the pleasure,37,12,13-04-2023 08:04,Apr-14,yes,2,
323,but either she,38,12,13-04-2023 08:04,Apr-14,yes,1,
324,he flees them more violently,40,12,13-04-2023 08:04,Apr-14,no,3,
325,and the result itself,41,12,13-04-2023 08:04,Apr-14,yes,1,
326,from the mind or,44,12,13-04-2023 08:04,Apr-14,no,2,
327,no fault of their own,54,12,13-04-2023 08:04,Apr-14,no,4,
328,not with the whole,57,12,13-04-2023 08:04,Apr-14,yes,2,
329,by law it should be minimal,63,12,13-04-2023 08:04,Apr-14,yes,1,
330,so that indeed they will succeed,66,12,13-04-2023 08:04,Apr-14,no,2,
331,which is debts,69,12,13-04-2023 08:04,Apr-14,yes,0,
332,indeed he will be criticized,71,12,13-04-2023 08:04,Apr-14,no,5,
333,when they fall easily,73,12,13-04-2023 08:04,Apr-14,no,6,
334,We accuse him of flight,75,12,13-04-2023 08:04,Apr-14,yes,2,
335,the error of choosing the blessed,76,12,13-04-2023 08:04,Apr-14,yes,1,
336,He criticized the words and,78,12,13-04-2023 08:04,Apr-14,no,3,
337,it is for certain needs,91,12,13-04-2023 08:04,Apr-14,yes,1,
338,or laborious pursuit,98,12,13-04-2023 08:04,Apr-14,no,2,
339,let them provide who,99,12,13-04-2023 08:04,Apr-14,no,4,
340,whence it is great,2,13,13-04-2023 08:04,Apr-14,yes,2,
341,He will repel them,5,13,13-04-2023 08:04,Apr-14,yes,1,
342,at the time due to,9,13,13-04-2023 08:04,Apr-14,no,2,
343,let them be in their offices,10,13,13-04-2023 08:04,Apr-14,yes,0,
344,they leave the pain free,12,13,13-04-2023 08:04,Apr-14,no,5,
345,because it is life,13,13,13-04-2023 08:04,Apr-14,no,6,
346,some distinction will be criticized,14,13,13-04-2023 08:04,Apr-14,yes,2,
347,and any wise,16,13,13-04-2023 08:04,Apr-14,yes,1,
348,for from the chosen one,17,13,13-04-2023 08:04,Apr-14,no,3,
349,all that we deserve,21,13,13-04-2023 08:04,Apr-14,yes,1,
350,We can carry out the duties,24,13,13-04-2023 08:04,Apr-14,no,2,
351,to make him of these,28,13,13-04-2023 08:04,Apr-14,no,4,
352,services and such,31,13,13-04-2023 08:04,Apr-14,yes,2,
353,I owe you a favor,32,13,13-04-2023 08:04,Apr-14,yes,1,
354,to be born,35,13,13-04-2023 08:04,Apr-14,no,2,
355,"he flees, and they do not know it",36,13,13-04-2023 08:04,Apr-14,yes,0,
356,and the pain was expedient and,39,13,13-04-2023 08:04,Apr-14,no,5,
357,with that some things,41,13,13-04-2023 08:04,Apr-14,no,6,
358,theirs as his,47,13,13-04-2023 08:04,Apr-14,yes,2,
359,the times whence I come,50,13,13-04-2023 08:04,Apr-14,yes,1,
360,she was blinded by pain,52,13,13-04-2023 08:04,Apr-14,no,3,
361,he receives or will receive,54,13,13-04-2023 08:04,Apr-14,yes,1,
362,in debts to be assumed,57,13,13-04-2023 08:04,Apr-14,no,2,
363,free of any consequence,60,13,13-04-2023 08:04,Apr-14,no,4,
364,this and pleasures,62,13,13-04-2023 08:04,Apr-14,yes,2,
365,because of those who praise them,65,13,13-04-2023 08:04,Apr-14,yes,1,
366,born with pleasures as,66,13,13-04-2023 08:04,Apr-14,no,2,
367,let him be spared them,70,13,13-04-2023 08:04,Apr-14,yes,0,
368,He wants to be the most worthy,71,13,13-04-2023 08:04,Apr-14,no,5,
369,"with that, except for pleasures",73,13,13-04-2023 08:04,Apr-14,no,6,
370,He is bound with the wise,75,13,13-04-2023 08:04,Apr-14,yes,2,
371,but to be accepted or,76,13,13-04-2023 08:04,Apr-14,yes,1,
372,we lead them by law,79,13,13-04-2023 08:04,Apr-14,no,3,
373,He is a corrupt architect,82,13,13-04-2023 08:04,Apr-14,yes,1,
374,any and when,91,13,13-04-2023 08:04,Apr-14,no,2,
375,interferes with exercise,93,13,13-04-2023 08:04,Apr-14,no,4,
376,more or less,94,13,13-04-2023 08:04,Apr-14,yes,2,
377,is to be assumed and,98,13,13-04-2023 08:04,Apr-14,yes,1,
378,less pain and suffering,99,13,13-04-2023 08:04,Apr-14,no,2,
379,every being needs,5,14,13-04-2023 08:04,Apr-14,yes,0,
380,for because and the like,14,14,13-04-2023 08:04,Apr-14,no,5,
381,or the times which,15,14,13-04-2023 08:04,Apr-14,no,6,
382,pain will be followed by pleasure,21,14,13-04-2023 08:04,Apr-14,yes,2,
383,services as not,22,14,13-04-2023 08:04,Apr-14,yes,1,
384,the inventor is disgusted with pleasures,24,14,13-04-2023 08:04,Apr-14,no,3,
385,they are chosen justly,30,14,13-04-2023 08:04,Apr-14,yes,1,
386,but which of them,32,14,13-04-2023 08:04,Apr-14,no,2,
